Transaction_ID,Product_ID,Location_ID,Transaction_Type,Quantity,Unit_Cost,Transaction_Date,Reference_Number,Created_By_User
TXN-00020,CAB-016,USA-018,RECEIPT,328,115.06,08-06-2025,RE-9948-20250608,inventory_mgr
TXN-00021,TYR-157,USA-010,TRANSFER,58,10436.11,27-05-2025,TR-3448-20250527,store_keeper
TXN-00022,ELE-117,USA-034,RECEIPT,447,5078.18,05-05-2025,RE-9017-20250505,store_keeper
TXN-00023,ELE-109,CAN-023,TRANSFER,110,612.56,25-02-2025,TR-5718-20250225,inventory_mgr
TXN-00024,CAB-001,AUS-021,RECEIPT,87,61.41,19-06-2025,RE-6285-20250619,system_admin
TXN-00025,CAB-037,GER-043,TRANSFER,82,55.83,21-04-2025,TR-9450-20250421,inventory_mgr
TXN-00026,CAB-004,JAP-012,TRANSFER,188,47.49,24-04-2025,TR-3815-20250424,auto_process
TXN-00027,LIG-078,UK-016,ISSUE,-37,525.85,23-07-2025,IS-1234-20250723,system_admin
TXN-00028,LIG-067,AUS-005,TRANSFER,98,1384.65,14-07-2025,TR-3481-20250714,system_admin
TXN-00029,ELE-106,UK-024,TRANSFER,21,5448.3,04-03-2025,TR-8170-20250304,inventory_mgr
TXN-00030,MIR-164,CAN-023,RECEIPT,220,1472.19,15-04-2025,RE-8822-20250415,store_keeper
TXN-00031,ELE-105,JAP-036,RECEIPT,446,1795.79,30-03-2025,RE-5278-20250330,system_admin
TXN-00032,MIR-176,USA-050,ISSUE,-61,1205.38,01-08-2025,IS-9739-20250801,system_admin
TXN-00033,MIR-172,UK-032,ISSUE,-225,917.37,13-04-2025,IS-8801-20250413,inventory_mgr
TXN-00034,LIG-077,USA-018,ISSUE,-58,1055.68,11-08-2025,IS-4435-20250811,store_keeper
TXN-00035,MIR-199,IND-025,TRANSFER,-10,165.9,18-04-2025,TR-1826-20250418,inventory_mgr
TXN-00036,CAB-019,AUS-045,ISSUE,-225,67.63,26-03-2025,IS-1210-20250326,auto_process
TXN-00037,MIR-173,USA-050,RECEIPT,353,1282.67,27-06-2025,RE-7081-20250627,inventory_mgr
TXN-00038,MIR-172,CAN-023,ISSUE,-73,980.13,21-03-2025,IS-5772-20250321,inventory_mgr
TXN-00039,TYR-142,IND-017,ISSUE,-217,3206.09,15-07-2025,IS-9511-20250715,inventory_mgr
TXN-00040,MIR-163,AUS-013,ISSUE,-118,775.73,08-06-2025,IS-2486-20250608,inventory_mgr
TXN-00041,CAB-037,GER-003,ISSUE,-280,55.88,09-05-2025,IS-9376-20250509,auto_process
TXN-00042,MIR-165,AUS-029,ISSUE,-163,1558.19,16-04-2025,IS-4192-20250416,system_admin
TXN-00043,LIG-078,UK-016,TRANSFER,20,550.45,20-05-2025,TR-3800-20250520,inventory_mgr
TXN-00044,LIG-078,USA-018,ISSUE,-300,554.36,10-07-2025,IS-9423-20250710,auto_process
TXN-00045,LIG-058,AUS-029,TRANSFER,-32,664.98,21-05-2025,TR-3881-20250521,auto_process
TXN-00046,TYR-124,AUS-013,ISSUE,-154,6828.09,06-05-2025,IS-8164-20250506,system_admin
TXN-00047,MIR-199,IND-025,TRANSFER,-99,137.91,06-06-2025,TR-8929-20250606,system_admin
TXN-00048,LIG-043,UK-048,TRANSFER,-106,2153.57,25-03-2025,TR-3807-20250325,store_keeper
TXN-00049,ELE-115,BRA-030,RECEIPT,41,7713.95,19-03-2025,RE-5282-20250319,store_keeper
TXN-00050,CAB-021,CAN-023,TRANSFER,121,69.55,14-04-2025,TR-2267-20250414,auto_process
TXN-00051,TYR-148,JAP-012,ISSUE,-226,5588.81,29-03-2025,IS-6514-20250329,inventory_mgr
TXN-00052,LIG-077,BRA-046,TRANSFER,128,974.44,02-08-2025,TR-8837-20250802,store_keeper
TXN-00053,MIR-183,UK-032,ISSUE,-214,1337.72,23-03-2025,IS-9162-20250323,store_keeper
TXN-00054,CAB-007,UK-008,TRANSFER,79,111.33,24-03-2025,TR-5521-20250324,store_keeper
TXN-00055,MIR-184,USA-026,ISSUE,-36,1182.81,23-06-2025,IS-6275-20250623,system_admin
TXN-00056,CAB-011,UK-048,ISSUE,-239,72.05,09-04-2025,IS-5418-20250409,inventory_mgr
TXN-00057,LIG-051,CAN-047,TRANSFER,-124,572.16,24-03-2025,TR-6722-20250324,auto_process
TXN-00058,LIG-063,GER-003,TRANSFER,-79,669.31,14-06-2025,TR-4745-20250614,inventory_mgr
TXN-00059,MIR-186,BRA-030,ISSUE,-244,175.82,16-07-2025,IS-3210-20250716,inventory_mgr
TXN-00060,ELE-106,GER-027,TRANSFER,-11,5201.36,11-08-2025,TR-7013-20250811,store_keeper
TXN-00061,MIR-176,CAN-023,ISSUE,-50,1104.09,04-03-2025,IS-2432-20250304,store_keeper
TXN-00062,ELE-093,IND-049,RECEIPT,103,902.34,12-05-2025,RE-5465-20250512,store_keeper
TXN-00063,CAB-016,IND-025,TRANSFER,113,129.26,28-02-2025,TR-8419-20250228,auto_process
TXN-00064,MIR-173,USA-002,ISSUE,-244,1213.27,21-04-2025,IS-2572-20250421,store_keeper
TXN-00065,TYR-125,GER-035,ISSUE,-10,9941.26,14-04-2025,IS-5529-20250414,auto_process
TXN-00066,MIR-192,AUS-013,TRANSFER,-189,1247.16,04-07-2025,TR-3442-20250704,inventory_mgr
TXN-00067,LIG-069,IND-017,TRANSFER,96,799.88,13-07-2025,TR-9152-20250713,auto_process
TXN-00068,ELE-084,GER-019,ISSUE,-35,2976.98,11-06-2025,IS-1299-20250611,auto_process
TXN-00069,MIR-166,IND-017,ISSUE,-179,505.77,27-07-2025,IS-6677-20250727,inventory_mgr
TXN-00070,TYR-140,GER-011,TRANSFER,-113,1738.81,23-04-2025,TR-5468-20250423,inventory_mgr
TXN-00071,TYR-159,AUS-045,ISSUE,-27,9654.52,08-07-2025,IS-1831-20250708,auto_process
TXN-00072,CAB-001,GER-019,TRANSFER,123,75.13,22-04-2025,TR-5481-20250422,store_keeper
TXN-00073,ELE-115,IND-001,TRANSFER,-97,8335.29,11-08-2025,TR-9977-20250811,store_keeper
TXN-00074,CAB-004,BRA-014,RECEIPT,473,53.7,18-04-2025,RE-9984-20250418,inventory_mgr
TXN-00075,TYR-129,USA-010,ISSUE,-94,9942.99,28-05-2025,IS-7821-20250528,store_keeper
TXN-00076,CAB-010,CAN-031,ISSUE,-126,69.86,10-05-2025,IS-7861-20250510,store_keeper
TXN-00077,LIG-075,AUS-045,RECEIPT,405,2149.42,28-07-2025,RE-3171-20250728,inventory_mgr
TXN-00078,TYR-127,AUS-013,TRANSFER,15,6214.73,14-06-2025,TR-2620-20250614,store_keeper
TXN-00079,CAB-038,UK-032,TRANSFER,173,98.04,06-07-2025,TR-3992-20250706,auto_process
TXN-00080,MIR-176,CAN-023,RECEIPT,332,1172.16,16-02-2025,RE-3691-20250216,store_keeper
TXN-00081,ELE-111,BRA-046,TRANSFER,-101,8741.91,22-06-2025,TR-5043-20250622,auto_process
TXN-00082,MIR-198,GER-011,RECEIPT,53,1642.33,21-03-2025,RE-9504-20250321,inventory_mgr
TXN-00083,TYR-138,GER-011,TRANSFER,34,1609.4,11-05-2025,TR-7563-20250511,store_keeper
TXN-00084,TYR-157,UK-024,TRANSFER,-114,10781.08,08-06-2025,TR-9121-20250608,store_keeper
TXN-00085,LIG-051,IND-001,ISSUE,-145,534.38,27-02-2025,IS-9758-20250227,inventory_mgr
TXN-00086,ELE-100,AUS-013,RECEIPT,52,7567.84,23-04-2025,RE-7407-20250423,inventory_mgr
TXN-00087,ELE-094,GER-035,RECEIPT,253,2501.35,22-06-2025,RE-5243-20250622,inventory_mgr
TXN-00088,ELE-094,AUS-045,RECEIPT,312,2413.61,18-02-2025,RE-9578-20250218,auto_process
TXN-00089,ELE-085,GER-019,ISSUE,-34,4045.2,28-04-2025,IS-2713-20250428,system_admin
TXN-00090,TYR-146,USA-026,RECEIPT,20,8316.51,13-07-2025,RE-1579-20250713,system_admin
TXN-00091,MIR-185,IND-041,TRANSFER,-172,271.11,08-03-2025,TR-4312-20250308,store_keeper
TXN-00092,CAB-011,IND-009,ISSUE,-98,86.15,05-04-2025,IS-1990-20250405,store_keeper
TXN-00093,MIR-174,AUS-029,ISSUE,-38,613.65,06-03-2025,IS-9422-20250306,store_keeper
TXN-00094,MIR-185,IND-049,TRANSFER,-4,330.77,14-04-2025,TR-6270-20250414,system_admin
TXN-00095,LIG-070,USA-034,ISSUE,-238,904.6,16-06-2025,IS-1286-20250616,store_keeper
TXN-00096,ELE-083,UK-048,TRANSFER,5,7088.16,05-06-2025,TR-4120-20250605,auto_process
TXN-00097,TYR-143,UK-040,ISSUE,-234,5686.78,21-06-2025,IS-8686-20250621,store_keeper
TXN-00098,TYR-144,CAN-031,ISSUE,-19,3227.18,27-05-2025,IS-6601-20250527,system_admin
TXN-00099,MIR-174,IND-033,RECEIPT,38,694.4,16-04-2025,RE-2013-20250416,inventory_mgr
TXN-00100,ELE-082,UK-008,TRANSFER,166,2952.56,17-03-2025,TR-4988-20250317,auto_process
TXN-00101,ELE-086,BRA-038,TRANSFER,72,5207.73,01-04-2025,TR-3079-20250401,inventory_mgr
TXN-00102,LIG-066,IND-009,RECEIPT,496,1514.7,25-02-2025,RE-1541-20250225,store_keeper
TXN-00103,CAB-013,GER-019,TRANSFER,75,120.94,15-04-2025,TR-6796-20250415,system_admin
TXN-00104,ELE-087,USA-026,ISSUE,-287,1954.99,23-03-2025,IS-1112-20250323,system_admin
TXN-00105,MIR-189,AUS-045,RECEIPT,258,1466.98,13-03-2025,RE-7635-20250313,auto_process
TXN-00106,LIG-043,UK-032,TRANSFER,-41,2411.72,04-04-2025,TR-1460-20250404,store_keeper
TXN-00107,CAB-010,GER-035,RECEIPT,281,83.97,09-06-2025,RE-8970-20250609,store_keeper
TXN-00108,TYR-136,AUS-037,RECEIPT,149,8804.63,25-04-2025,RE-3154-20250425,system_admin
TXN-00109,MIR-195,USA-010,RECEIPT,193,183.91,05-07-2025,RE-2363-20250705,system_admin
TXN-00110,TYR-160,JAP-028,RECEIPT,209,7493.4,26-05-2025,RE-2373-20250526,store_keeper
TXN-00111,CAB-012,CAN-007,TRANSFER,185,85.77,22-07-2025,TR-2165-20250722,store_keeper
TXN-00112,CAB-022,GER-003,TRANSFER,-153,103.67,06-03-2025,TR-9049-20250306,store_keeper
TXN-00113,MIR-180,CAN-039,ISSUE,-15,201.87,23-02-2025,IS-7521-20250223,inventory_mgr
TXN-00114,LIG-073,UK-032,RECEIPT,134,1149.63,16-02-2025,RE-9524-20250216,auto_process
TXN-00115,LIG-066,USA-042,RECEIPT,394,1433.96,11-04-2025,RE-1774-20250411,store_keeper
TXN-00116,TYR-129,AUS-029,RECEIPT,313,8750.14,25-07-2025,RE-1427-20250725,system_admin
TXN-00117,TYR-148,UK-048,TRANSFER,154,5477.38,06-05-2025,TR-9959-20250506,auto_process
TXN-00118,CAB-036,GER-011,ISSUE,-132,95.31,06-06-2025,IS-6067-20250606,inventory_mgr
TXN-00119,ELE-115,USA-026,ISSUE,-286,6842.28,27-03-2025,IS-7347-20250327,auto_process
TXN-00120,TYR-122,GER-003,RECEIPT,144,7219.6,11-05-2025,RE-2274-20250511,system_admin
TXN-00121,ELE-089,UK-048,TRANSFER,53,1881.12,22-02-2025,TR-8293-20250222,inventory_mgr
TXN-00122,MIR-187,IND-025,ISSUE,-219,1391.62,03-07-2025,IS-8571-20250703,store_keeper
TXN-00123,TYR-150,BRA-022,TRANSFER,-12,6789.53,04-07-2025,TR-2267-20250704,auto_process
TXN-00124,CAB-014,CAN-039,RECEIPT,154,58.03,08-08-2025,RE-9521-20250808,store_keeper
TXN-00125,LIG-068,AUS-037,RECEIPT,136,2351.18,31-05-2025,RE-7256-20250531,inventory_mgr
TXN-00126,TYR-146,IND-033,ISSUE,-56,8814.15,16-06-2025,IS-7790-20250616,inventory_mgr
TXN-00127,MIR-193,CAN-015,RECEIPT,409,574.41,09-08-2025,RE-9777-20250809,auto_process
TXN-00128,LIG-046,IND-033,ISSUE,-288,898.1,07-06-2025,IS-1886-20250607,system_admin
TXN-00129,MIR-165,AUS-013,RECEIPT,388,1604.26,03-08-2025,RE-1348-20250803,auto_process
TXN-00130,MIR-195,IND-033,TRANSFER,72,195.33,04-05-2025,TR-3360-20250504,auto_process
TXN-00131,CAB-003,USA-026,TRANSFER,-75,37.91,10-03-2025,TR-6251-20250310,inventory_mgr
TXN-00132,TYR-143,AUS-005,TRANSFER,37,4687.71,26-05-2025,TR-5319-20250526,store_keeper
TXN-00133,LIG-054,AUS-045,ISSUE,-20,1990.54,19-07-2025,IS-5159-20250719,system_admin
TXN-00134,LIG-053,BRA-038,RECEIPT,37,2334.42,05-08-2025,RE-4002-20250805,auto_process
TXN-00135,CAB-024,IND-041,TRANSFER,67,70.85,23-02-2025,TR-1584-20250223,store_keeper
TXN-00136,TYR-152,JAP-004,TRANSFER,114,9084.38,26-05-2025,TR-2645-20250526,inventory_mgr
TXN-00137,TYR-122,GER-043,ISSUE,-129,7108.19,15-02-2025,IS-1772-20250215,inventory_mgr
TXN-00138,ELE-107,UK-048,TRANSFER,-112,2683.6,12-04-2025,TR-7060-20250412,auto_process
TXN-00139,TYR-140,JAP-012,TRANSFER,-190,1805.91,14-07-2025,TR-7406-20250714,system_admin
TXN-00140,TYR-140,UK-032,RECEIPT,16,1631.91,10-05-2025,RE-5874-20250510,inventory_mgr
TXN-00141,TYR-143,GER-003,TRANSFER,101,5393.41,04-03-2025,TR-8803-20250304,inventory_mgr
TXN-00142,ELE-097,GER-003,RECEIPT,493,7901.93,10-07-2025,RE-9463-20250710,system_admin
TXN-00143,TYR-147,BRA-038,RECEIPT,359,8671.17,11-06-2025,RE-6902-20250611,inventory_mgr
TXN-00144,ELE-083,IND-001,TRANSFER,-150,6956.41,28-07-2025,TR-3110-20250728,inventory_mgr
TXN-00145,ELE-091,USA-018,RECEIPT,446,3692.59,04-04-2025,RE-8141-20250404,auto_process
TXN-00146,CAB-036,GER-019,ISSUE,-58,100.93,10-07-2025,IS-9942-20250710,inventory_mgr
TXN-00147,MIR-190,BRA-014,RECEIPT,337,512.33,23-06-2025,RE-2870-20250623,auto_process
TXN-00148,TYR-135,GER-043,ISSUE,-87,10893.3,18-05-2025,IS-7271-20250518,system_admin
TXN-00149,MIR-171,AUS-029,RECEIPT,256,1455.82,21-04-2025,RE-5730-20250421,auto_process
TXN-00150,ELE-102,GER-019,RECEIPT,491,4875.27,27-03-2025,RE-2669-20250327,auto_process
TXN-00151,CAB-035,CAN-039,TRANSFER,111,108.87,29-06-2025,TR-1100-20250629,inventory_mgr
TXN-00152,LIG-051,UK-016,RECEIPT,22,602.95,09-05-2025,RE-7260-20250509,store_keeper
TXN-00153,LIG-066,JAP-044,ISSUE,-186,1725.99,29-04-2025,IS-9447-20250429,inventory_mgr
TXN-00154,MIR-197,GER-035,RECEIPT,95,480.01,14-05-2025,RE-5951-20250514,auto_process
TXN-00155,LIG-064,JAP-044,RECEIPT,122,1094.01,16-05-2025,RE-6937-20250516,inventory_mgr
TXN-00156,ELE-102,GER-043,TRANSFER,2,5161.81,01-08-2025,TR-1409-20250801,inventory_mgr
TXN-00157,MIR-169,UK-048,TRANSFER,78,773.22,04-03-2025,TR-5927-20250304,store_keeper
TXN-00158,LIG-047,JAP-012,TRANSFER,-83,1028.53,19-07-2025,TR-8760-20250719,store_keeper
TXN-00159,TYR-157,BRA-014,TRANSFER,93,9729.27,10-04-2025,TR-8127-20250410,store_keeper
TXN-00160,MIR-195,UK-040,TRANSFER,109,210.02,12-06-2025,TR-8932-20250612,store_keeper
TXN-00161,MIR-167,BRA-022,RECEIPT,329,794.33,05-08-2025,RE-1456-20250805,auto_process
TXN-00162,TYR-150,BRA-022,RECEIPT,43,7363.59,23-05-2025,RE-1756-20250523,auto_process
TXN-00163,TYR-135,USA-010,RECEIPT,478,9668.17,03-06-2025,RE-3664-20250603,auto_process
TXN-00164,CAB-021,BRA-046,RECEIPT,324,75.94,06-03-2025,RE-1796-20250306,store_keeper
TXN-00165,MIR-164,GER-035,RECEIPT,314,1554.55,19-07-2025,RE-8068-20250719,store_keeper
TXN-00166,TYR-160,CAN-015,TRANSFER,-51,7537.25,11-04-2025,TR-1652-20250411,system_admin
TXN-00167,MIR-163,UK-016,TRANSFER,-38,841.5,10-06-2025,TR-4269-20250610,inventory_mgr
TXN-00168,LIG-060,GER-043,ISSUE,-190,651.54,04-03-2025,IS-4808-20250304,inventory_mgr
TXN-00169,ELE-108,USA-010,ISSUE,-14,1591.8,07-08-2025,IS-4040-20250807,auto_process
TXN-00170,ELE-088,BRA-022,TRANSFER,-174,4987.32,08-03-2025,TR-9315-20250308,inventory_mgr
TXN-00171,CAB-009,UK-024,ISSUE,-81,42.24,02-06-2025,IS-2346-20250602,auto_process
TXN-00172,ELE-119,IND-009,ISSUE,-63,2549.98,17-07-2025,IS-4484-20250717,auto_process
TXN-00173,CAB-027,BRA-038,ISSUE,-159,121.13,12-03-2025,IS-4660-20250312,auto_process
TXN-00174,ELE-117,USA-010,TRANSFER,-108,4461.54,01-05-2025,TR-1822-20250501,auto_process
TXN-00175,TYR-149,JAP-012,TRANSFER,-52,2352.87,14-06-2025,TR-7254-20250614,auto_process
TXN-00176,MIR-178,CAN-015,ISSUE,-186,376.31,29-03-2025,IS-2608-20250329,store_keeper
TXN-00177,ELE-094,AUS-045,ISSUE,-59,2271.02,11-05-2025,IS-4378-20250511,system_admin
TXN-00178,LIG-050,UK-024,ISSUE,-243,1914.75,12-02-2025,IS-7945-20250212,system_admin
TXN-00179,MIR-196,IND-017,RECEIPT,469,699.61,19-07-2025,RE-7267-20250719,store_keeper
TXN-00180,ELE-109,JAP-028,RECEIPT,339,653.24,09-07-2025,RE-9077-20250709,store_keeper
TXN-00181,ELE-115,UK-008,TRANSFER,112,6942.57,05-04-2025,TR-9443-20250405,system_admin
TXN-00182,CAB-017,AUS-005,RECEIPT,398,93.86,13-06-2025,RE-3620-20250613,system_admin
TXN-00183,MIR-186,BRA-046,RECEIPT,379,175.95,13-07-2025,RE-9659-20250713,store_keeper
TXN-00184,ELE-083,BRA-038,RECEIPT,269,6451,19-02-2025,RE-2640-20250219,auto_process
TXN-00185,MIR-186,USA-010,TRANSFER,52,171.88,05-04-2025,TR-9283-20250405,inventory_mgr
TXN-00186,MIR-172,GER-027,ISSUE,-25,916.25,11-08-2025,IS-6416-20250811,store_keeper
TXN-00187,MIR-178,USA-002,ISSUE,-46,331.15,17-06-2025,IS-9825-20250617,store_keeper
TXN-00188,TYR-124,IND-009,RECEIPT,347,6077.24,26-03-2025,RE-2572-20250326,store_keeper
TXN-00189,CAB-037,IND-017,ISSUE,-264,53.33,29-03-2025,IS-8759-20250329,system_admin
TXN-00190,LIG-076,UK-008,RECEIPT,177,1495.12,26-05-2025,RE-8381-20250526,system_admin
TXN-00191,TYR-136,UK-016,RECEIPT,47,7915.21,19-03-2025,RE-9474-20250319,auto_process
TXN-00192,LIG-045,IND-017,RECEIPT,234,364.8,02-06-2025,RE-4960-20250602,inventory_mgr
TXN-00193,CAB-016,USA-050,RECEIPT,485,124.49,24-03-2025,RE-6887-20250324,system_admin
TXN-00194,MIR-171,UK-048,ISSUE,-207,1303.36,17-04-2025,IS-8810-20250417,system_admin
TXN-00195,ELE-092,CAN-015,TRANSFER,16,6070.89,26-06-2025,TR-5668-20250626,inventory_mgr
TXN-00196,TYR-144,UK-032,RECEIPT,70,3524.31,10-03-2025,RE-5359-20250310,inventory_mgr
TXN-00197,TYR-142,JAP-044,RECEIPT,460,2840.65,29-05-2025,RE-8170-20250529,store_keeper
TXN-00198,TYR-157,JAP-004,TRANSFER,145,10578.09,05-06-2025,TR-3206-20250605,inventory_mgr
TXN-00199,CAB-021,CAN-023,RECEIPT,114,74.38,30-03-2025,RE-8781-20250330,system_admin
TXN-00200,TYR-122,BRA-038,RECEIPT,480,6885.76,05-07-2025,RE-8068-20250705,auto_process
TXN-00201,LIG-041,USA-042,RECEIPT,298,1507.91,17-04-2025,RE-8373-20250417,store_keeper
TXN-00202,TYR-133,GER-043,RECEIPT,234,4150.94,24-03-2025,RE-2559-20250324,system_admin
TXN-00203,TYR-142,JAP-036,ISSUE,-243,3527.06,30-07-2025,IS-6852-20250730,auto_process
TXN-00204,ELE-116,BRA-038,ISSUE,-84,2687.4,25-02-2025,IS-3705-20250225,store_keeper
TXN-00205,ELE-088,BRA-014,ISSUE,-236,4877.13,05-06-2025,IS-7403-20250605,inventory_mgr
TXN-00206,TYR-123,USA-026,ISSUE,-53,5093.98,30-06-2025,IS-3511-20250630,system_admin
TXN-00207,TYR-125,GER-043,ISSUE,-48,11184.78,22-07-2025,IS-4487-20250722,system_admin
TXN-00208,CAB-008,AUS-013,TRANSFER,8,115.09,21-06-2025,TR-3187-20250621,auto_process
TXN-00209,CAB-029,JAP-044,ISSUE,-142,82.78,25-02-2025,IS-8861-20250225,store_keeper
TXN-00210,LIG-075,GER-019,ISSUE,-32,2626.19,02-03-2025,IS-1530-20250302,auto_process
TXN-00211,MIR-186,JAP-012,TRANSFER,-92,162.83,29-06-2025,TR-5172-20250629,inventory_mgr
TXN-00212,LIG-076,UK-016,ISSUE,-41,1434.12,08-06-2025,IS-7693-20250608,system_admin
TXN-00213,ELE-093,USA-010,ISSUE,-199,838.1,10-03-2025,IS-7300-20250310,inventory_mgr
TXN-00214,ELE-117,AUS-045,ISSUE,-245,4448.94,12-05-2025,IS-5262-20250512,system_admin
TXN-00215,MIR-196,CAN-007,RECEIPT,215,709.73,03-04-2025,RE-9133-20250403,store_keeper
TXN-00216,MIR-175,USA-050,TRANSFER,-89,1230.78,22-07-2025,TR-5472-20250722,system_admin
TXN-00217,MIR-196,GER-043,TRANSFER,-131,613.42,08-03-2025,TR-2253-20250308,store_keeper
TXN-00218,MIR-183,IND-033,ISSUE,-77,1465.6,07-07-2025,IS-3087-20250707,auto_process
TXN-00219,CAB-027,JAP-028,ISSUE,-151,114.35,16-07-2025,IS-5704-20250716,inventory_mgr
TXN-00220,MIR-180,UK-008,RECEIPT,77,185.05,11-04-2025,RE-1854-20250411,inventory_mgr
TXN-00221,LIG-050,JAP-036,TRANSFER,156,2033.37,31-07-2025,TR-9262-20250731,store_keeper
TXN-00222,MIR-161,IND-041,ISSUE,-226,1172.72,21-03-2025,IS-7228-20250321,auto_process
TXN-00223,CAB-004,CAN-047,ISSUE,-37,52.01,14-04-2025,IS-6816-20250414,store_keeper
TXN-00224,LIG-066,BRA-022,ISSUE,-146,1774.17,10-08-2025,IS-4733-20250810,auto_process
TXN-00225,MIR-177,GER-043,TRANSFER,-9,628.77,01-06-2025,TR-1667-20250601,inventory_mgr
TXN-00226,CAB-027,BRA-038,TRANSFER,-116,107.08,24-05-2025,TR-7496-20250524,inventory_mgr
TXN-00227,CAB-026,BRA-038,ISSUE,-219,50.67,26-06-2025,IS-3973-20250626,inventory_mgr
TXN-00228,ELE-089,AUS-045,ISSUE,-246,1884.36,27-05-2025,IS-9225-20250527,system_admin
TXN-00229,LIG-076,BRA-046,ISSUE,-34,1384.15,07-03-2025,IS-6893-20250307,auto_process
TXN-00230,ELE-096,CAN-023,ISSUE,-300,4972.86,28-06-2025,IS-1715-20250628,system_admin
TXN-00231,LIG-057,UK-016,TRANSFER,-11,1808.53,08-05-2025,TR-7024-20250508,store_keeper
TXN-00232,CAB-012,UK-008,ISSUE,-10,89.19,06-05-2025,IS-6393-20250506,inventory_mgr
TXN-00233,ELE-104,AUS-021,ISSUE,-283,5211.17,02-05-2025,IS-2354-20250502,store_keeper
TXN-00234,MIR-199,UK-024,ISSUE,-99,146.02,04-06-2025,IS-6308-20250604,store_keeper
TXN-00235,TYR-127,IND-009,ISSUE,-255,7056.59,13-02-2025,IS-1091-20250213,auto_process
TXN-00236,LIG-057,JAP-004,RECEIPT,167,1957.87,21-06-2025,RE-6294-20250621,auto_process
TXN-00237,ELE-117,IND-025,ISSUE,-94,4240.04,08-04-2025,IS-5203-20250408,system_admin
TXN-00238,MIR-163,GER-019,RECEIPT,131,810.85,20-02-2025,RE-2073-20250220,store_keeper
TXN-00239,CAB-010,AUS-045,TRANSFER,14,78.09,29-05-2025,TR-9522-20250529,auto_process
TXN-00240,TYR-135,IND-049,RECEIPT,66,9539.79,18-03-2025,RE-9253-20250318,system_admin
TXN-00241,TYR-147,UK-008,TRANSFER,-174,7440.88,14-07-2025,TR-3433-20250714,inventory_mgr
TXN-00242,LIG-068,GER-019,ISSUE,-41,2283.47,05-03-2025,IS-9347-20250305,inventory_mgr
TXN-00243,CAB-013,IND-033,TRANSFER,9,123.52,20-06-2025,TR-8660-20250620,inventory_mgr
TXN-00244,TYR-158,GER-019,ISSUE,-224,8544.68,02-04-2025,IS-5220-20250402,system_admin
TXN-00245,ELE-101,CAN-039,TRANSFER,22,3744.09,06-03-2025,TR-5799-20250306,system_admin
TXN-00246,MIR-164,JAP-020,TRANSFER,185,1584.67,09-08-2025,TR-5740-20250809,system_admin
TXN-00247,LIG-049,IND-025,RECEIPT,68,1940.86,13-07-2025,RE-6607-20250713,store_keeper
TXN-00248,MIR-171,IND-033,TRANSFER,-109,1425.45,18-02-2025,TR-9557-20250218,store_keeper
TXN-00249,LIG-045,UK-024,TRANSFER,-200,404.39,01-05-2025,TR-4033-20250501,store_keeper
TXN-00250,TYR-152,GER-043,TRANSFER,186,10490.99,12-02-2025,TR-4522-20250212,auto_process
TXN-00251,CAB-021,IND-049,ISSUE,-231,80.22,17-06-2025,IS-4449-20250617,system_admin
