
PRODUCT_ID,PRODUCT_NAME,CATEGORY,UNIT_COST,WEIGHT_KG,AUTOMOTIVE_GRADE,ACTIVE_STATUS,CREATED_DATE,LAST_UPDATED_DATE
ELE-096,Alternator for Honda Shine,ELECTRONICS,4484.15,7.784,N,N,14-06-2024,27-11-2025
ELE-097,Relay Switch for Mahindra Scorpio,ELECTRONICS,6882.47,8.172,N,N,03-11-2024,13-01-2025
ELE-098,Ignition Coil for Maruti Alto,ELECTRONICS,4931.16,5.836,Y,Y,09-09-2024,27-10-2025
ELE-099,Fuel Pump for Royal Enfield,ELECTRONICS,4586.88,12.932,N,Y,06-09-2024,01-01-2025
ELE-100,12V Battery for Mahindra Scorpio,ELECTRONICS,7783.49,10.042,Y,Y,24-01-2024,06-03-2025
ELE-101,Relay Switch for Suzuki Access,ELECTRONICS,3465.93,12.9,N,N,10-03-2024,27-05-2025
ELE-102,Fuel Pump for Honda Shine,ELECTRONICS,4840.99,10.91,N,N,25-05-2024,24-08-2025
ELE-103,12V Battery for Honda Shine,ELECTRONICS,3057.18,7.848,Y,Y,10-06-2024,18-04-2025
ELE-104,Horn Assembly for Mahindra Scorpio,ELECTRONICS,5357.64,1.713,N,Y,22-04-2024,07-11-2025
ELE-105,Alternator for Bajaj Pulsar,ELECTRONICS,1885.37,1.933,Y,N,20-05-2024,31-07-2025
ELE-106,Relay Switch for Bajaj Pulsar,ELECTRONICS,5298.98,2.477,Y,N,08-05-2024,01-12-2025
ELE-107,Voltage Regulator for Bajaj Pulsar,ELECTRONICS,2502.2,13.062,Y,N,08-08-2024,30-10-2025
ELE-108,Voltage Regulator for Honda Shine,ELECTRONICS,1414.68,5.519,N,Y,29-03-2024,19-03-2025
ELE-109,Alternator for Honda Shine,ELECTRONICS,629.7,7.832,N,Y,12-02-2024,13-05-2025
ELE-110,12V Battery for Honda Shine,ELECTRONICS,5277.42,7.834,Y,N,10-07-2024,15-04-2025
ELE-111,Fuel Pump for Hero MotoCorp,ELECTRONICS,7863.81,10.186,N,Y,23-11-2024,22-02-2025
ELE-112,12V Battery for Honda Shine,ELECTRONICS,2746.74,4.636,Y,N,07-09-2024,12-05-2025
ELE-113,Fuel Pump for TVS Apache,ELECTRONICS,6987.38,7.204,Y,Y,18-12-2024,21-01-2025
ELE-114,Horn Assembly for Honda Shine,ELECTRONICS,4156.7,1.506,N,N,23-12-2024,14-10-2025
ELE-115,Voltage Regulator for Royal Enfield,ELECTRONICS,7581.93,13.095,N,N,22-11-2024,03-01-2025
ELE-116,Horn Assembly for Suzuki Access,ELECTRONICS,2555.44,8.246,N,N,27-10-2024,19-08-2025
ELE-117,Voltage Regulator for Bajaj Pulsar,ELECTRONICS,4587.64,11.342,N,N,01-09-2024,01-02-2025
ELE-118,Voltage Regulator for Suzuki Access,ELECTRONICS,6109.03,0.812,Y,Y,30-12-2024,18-07-2025
ELE-119,Alternator for Honda Shine,ELECTRONICS,2608.91,10.348,N,N,21-05-2024,18-10-2025
ELE-120,Ignition Coil for Suzuki Access,ELECTRONICS,5666.14,14.41,N,N,20-08-2024,28-01-2025
TYR-121,Sports Tyre for Tata Safari,TYRES,1776.84,14.115,Y,Y,09-11-2024,16-07-2025
TYR-122,Front Tyre for Yamaha FZ,TYRES,7488.92,6.355,N,Y,29-05-2024,26-06-2025
TYR-123,Sports Tyre for Royal Enfield,TYRES,5392.02,17.452,N,Y,25-09-2024,28-05-2025
TYR-124,Winter Tyre for Suzuki Access,TYRES,6136.12,12.302,N,Y,07-09-2024,02-04-2025
TYR-125,Rear Tyre for Suzuki Access,TYRES,9727.06,22.18,N,N,25-02-2024,18-05-2025
TYR-126,Tubeless Tyre for Royal Enfield,TYRES,8472.47,18.223,N,N,03-10-2024,05-07-2025
TYR-127,Radial Tyre for Suzuki Access,TYRES,6889.22,22.794,Y,Y,12-01-2024,27-04-2025
TYR-128,Radial Tyre for Tata Safari,TYRES,7065.75,7.566,Y,N,05-02-2024,26-02-2025
TYR-129,All-Terrain Tyre for Maruti Alto,TYRES,8658.5,9.366,N,N,13-01-2024,05-11-2025
TYR-130,Tubeless Tyre for Honda Shine,TYRES,9537.35,8.753,N,Y,09-08-2024,26-10-2025
TYR-131,Winter Tyre for Maruti Alto,TYRES,4786.8,13.794,N,Y,13-05-2024,15-04-2025
TYR-132,Tubeless Tyre for Honda Shine,TYRES,9549.19,6.823,Y,N,22-04-2024,04-05-2025
TYR-133,Radial Tyre for Honda Shine,TYRES,3945.73,11.953,N,N,05-12-2024,17-06-2025
TYR-134,Radial Tyre for Royal Enfield,TYRES,7904.58,9.091,Y,N,13-12-2024,14-05-2025
TYR-135,Radial Tyre for Royal Enfield,TYRES,9743.02,22.777,N,N,20-12-2024,30-06-2025
TYR-136,Tubeless Tyre for TVS Apache,TYRES,8243.08,22.167,Y,Y,29-02-2024,02-09-2025
TYR-137,All-Terrain Tyre for Bajaj Pulsar,TYRES,2103.48,21.466,Y,N,18-05-2024,24-02-2025
TYR-138,Radial Tyre for Tata Safari,TYRES,1594.95,21.325,N,N,16-11-2024,28-08-2025
TYR-139,Tubeless Tyre for Maruti Alto,TYRES,3330.48,6.181,N,N,04-01-2024,11-07-2025
TYR-140,Tubeless Tyre for Yamaha FZ,TYRES,1809.83,5.416,N,Y,29-09-2024,11-12-2025
TYR-141,All-Terrain Tyre for TVS Apache,TYRES,3524.46,8.371,Y,Y,19-07-2024,03-02-2025
TYR-142,Sports Tyre for Suzuki Access,TYRES,3088.21,14.274,Y,Y,17-09-2024,15-01-2025
TYR-143,Front Tyre for Yamaha FZ,TYRES,5061.95,18.443,N,Y,07-05-2024,26-04-2025
TYR-144,Front Tyre for Yamaha FZ,TYRES,3303.22,20.642,Y,Y,10-11-2024,02-02-2025
TYR-145,Sports Tyre for Hero MotoCorp,TYRES,3478.97,20.636,N,Y,28-12-2024,15-12-2025
TYR-146,Rear Tyre for Tata Safari,TYRES,7935.82,23.481,N,Y,19-07-2024,09-06-2025
TYR-147,Radial Tyre for Yamaha FZ,TYRES,7916.79,22.847,N,N,23-07-2024,18-02-2025
TYR-148,Rear Tyre for Yamaha FZ,TYRES,5306.28,9.277,N,Y,04-04-2024,26-07-2025
TYR-149,Tubeless Tyre for TVS Apache,TYRES,2379.61,20.512,Y,N,18-01-2024,25-09-2025
TYR-150,Off-Road Tyre for Maruti Alto,TYRES,6651.99,18.741,Y,Y,25-08-2024,12-04-2025
TYR-151,Rear Tyre for Honda Shine,TYRES,1890.04,20.353,Y,N,26-10-2024,01-05-2025
TYR-152,Radial Tyre for Maruti Alto,TYRES,9591.94,6.348,N,N,04-11-2024,10-07-2025
TYR-153,Radial Tyre for Tata Safari,TYRES,4364.76,8.742,Y,N,28-10-2024,08-12-2025
TYR-154,Winter Tyre for Bajaj Pulsar,TYRES,4643.79,5.455,N,Y,19-07-2024,06-12-2025
TYR-155,Off-Road Tyre for Yamaha FZ,TYRES,5639.14,14.756,Y,N,08-04-2024,23-01-2025
TYR-156,Sports Tyre for Bajaj Pulsar,TYRES,2286.2,6.067,Y,Y,08-05-2024,10-03-2025
TYR-157,All-Terrain Tyre for Bajaj Pulsar,TYRES,9675.32,11.562,Y,Y,24-01-2024,04-03-2025
TYR-158,All-Terrain Tyre for Bajaj Pulsar,TYRES,8260.84,18.593,N,N,30-05-2024,05-11-2025
TYR-159,All-Terrain Tyre for Maruti Alto,TYRES,9658.58,24.779,Y,N,11-09-2024,20-03-2025
TYR-160,Radial Tyre for Yamaha FZ,TYRES,7889.69,11.416,N,Y,09-06-2024,04-05-2025
MIR-161,Blind Spot Mirror for Maruti Alto,MIRRORS,1024.52,1.936,N,N,06-01-2024,23-05-2025
MIR-162,Side Mirror for Hero MotoCorp,MIRRORS,1017.85,1.142,N,Y,21-12-2024,20-02-2025
MIR-163,Convex Mirror for Tata Safari,MIRRORS,739.99,1.272,N,Y,19-01-2024,08-12-2025
MIR-164,Side Mirror for Yamaha FZ,MIRRORS,1426.44,1.33,Y,Y,18-02-2024,17-06-2025
MIR-165,Electric Side Mirror for Bajaj Pulsar,MIRRORS,1495.79,1.08,N,Y,07-08-2024,27-05-2025
MIR-166,Blind Spot Mirror for Yamaha FZ,MIRRORS,492.35,1.464,N,Y,06-02-2024,30-08-2025
MIR-167,Electric Side Mirror for Mahindra Scorpio,MIRRORS,782.21,1.514,Y,Y,19-11-2024,04-12-2025
MIR-168,Blind Spot Mirror for Suzuki Access,MIRRORS,1291.84,1.475,Y,Y,06-01-2024,01-06-2025
MIR-169,Rear View Mirror for TVS Apache,MIRRORS,705.26,1.473,Y,N,04-07-2024,01-05-2025
MIR-170,Blind Spot Mirror for Yamaha FZ,MIRRORS,383.58,0.334,Y,Y,17-11-2024,09-01-2025
MIR-171,Heated Side Mirror for TVS Apache,MIRRORS,1407.32,1.881,N,Y,17-12-2024,15-08-2025
MIR-172,Side Mirror for Bajaj Pulsar,MIRRORS,953.89,1.755,Y,Y,02-04-2024,04-09-2025
MIR-173,Rear View Mirror for TVS Apache,MIRRORS,1135.84,0.844,N,Y,15-04-2024,21-02-2025
MIR-174,Blind Spot Mirror for Yamaha FZ,MIRRORS,629.26,0.74,N,Y,11-09-2024,18-12-2025
MIR-175,Heated Side Mirror for Maruti Alto,MIRRORS,1162.63,0.971,N,Y,20-09-2024,12-07-2025
MIR-176,Rear View Mirror for TVS Apache,MIRRORS,1111.27,0.885,N,N,29-09-2024,30-05-2025
MIR-177,Heated Side Mirror for Honda Shine,MIRRORS,624.82,1.184,N,N,22-12-2024,11-10-2025
MIR-178,Side Mirror for Royal Enfield,MIRRORS,341.05,0.974,N,Y,29-09-2024,01-01-2025
MIR-179,Electric Side Mirror for Yamaha FZ,MIRRORS,476.6,0.897,Y,N,12-05-2024,14-02-2025
MIR-180,Heated Side Mirror for Bajaj Pulsar,MIRRORS,180.43,1.132,N,N,03-07-2024,10-04-2025
MIR-181,Rear View Mirror for Honda Shine,MIRRORS,367.9,0.294,N,Y,31-12-2024,25-04-2025
MIR-182,Convex Mirror for Bajaj Pulsar,MIRRORS,593.22,0.223,N,N,02-10-2024,04-03-2025
MIR-183,Convex Mirror for Yamaha FZ,MIRRORS,1288.62,0.247,N,N,22-04-2024,25-03-2025
MIR-184,Electric Side Mirror for Suzuki Access,MIRRORS,1037.89,1.543,N,Y,03-05-2024,22-08-2025
MIR-185,Side Mirror for Royal Enfield,MIRRORS,290.05,1.095,N,N,10-01-2024,03-06-2025
MIR-186,Blind Spot Mirror for Yamaha FZ,MIRRORS,170.52,0.512,N,N,13-09-2024,30-08-2025
MIR-187,Heated Side Mirror for Hero MotoCorp,MIRRORS,1246.47,0.543,Y,N,15-05-2024,09-07-2025
MIR-188,Blind Spot Mirror for Maruti Alto,MIRRORS,225.75,0.68,N,N,02-04-2024,19-09-2025
MIR-189,Electric Side Mirror for Honda Shine,MIRRORS,1454.75,1.898,Y,N,09-06-2024,24-08-2025
MIR-190,Blind Spot Mirror for TVS Apache,MIRRORS,530.92,1.587,N,Y,01-07-2024,12-08-2025
MIR-191,Heated Side Mirror for Bajaj Pulsar,MIRRORS,1196.83,0.634,Y,N,21-08-2024,06-10-2025
MIR-192,Blind Spot Mirror for Honda Shine,MIRRORS,1204.65,1.165,Y,Y,18-11-2024,02-11-2025
MIR-193,Blind Spot Mirror for Mahindra Scorpio,MIRRORS,553.64,0.296,Y,Y,10-05-2024,20-03-2025
MIR-194,Heated Side Mirror for Tata Safari,MIRRORS,200.49,1.298,Y,N,05-02-2024,30-07-2025
MIR-195,Blind Spot Mirror for Royal Enfield,MIRRORS,184.17,1.952,Y,N,18-07-2024,02-11-2025
MIR-196,Electric Side Mirror for Tata Safari,MIRRORS,651.87,1.738,Y,N,01-06-2024,11-06-2025
MIR-197,Electric Side Mirror for Bajaj Pulsar,MIRRORS,434.02,0.338,N,N,02-06-2024,15-07-2025
MIR-198,Heated Side Mirror for Tata Safari,MIRRORS,1494.47,0.24,Y,N,15-03-2024,20-05-2025
MIR-199,Heated Side Mirror for Tata Safari,MIRRORS,151.89,1.887,Y,N,09-03-2024,24-10-2025
MIR-200,Side Mirror for Mahindra Scorpio,MIRRORS,919.28,0.608,N,Y,04-03-2024,19-12-2025
